interface_type,model,target,ics_naive_mean,ics_mean,ics_log10_mean,ips_naive_mean,ips_mean,ips_log10_mean,ilddt_naive_mean,ilddt_mean,ilddt_log10_mean
protein-protein,M0268TS262_2,M0268,0.0,0.0,0.0,0.006333333333333333,0.009411214953271027,0.007360122479704485,0.12732554695710863,0.14973364485981308,0.1357772134007619
NA-containing,M0268TS262_2,M0268,0.17880000000000001,0.23389534883720933,0.20059065957452152,0.18159999999999998,0.23583720930232557,0.20277744698631084,0.3985926208979097,0.4211046511627907,0.40757876293546863
all,M0268TS262_3,M0268,0.08272727272727273,0.10608808290155441,0.0920016016722714,0.08454545454545453,0.10844041450777203,0.09379545392302414,0.2516231774771075,0.27158549222797923,0.2592184529367674
NA-NA,M0268TS262_3,M0268,,,,,,,,,
NA-protein,M0268TS262_3,M0268,0.182,0.23808139534883724,0.20418064900762253,0.17839999999999998,0.23165116279069767,0.1991874575532098,0.40044033169558446,0.4227151162790697,0.4093448936144532
protein-protein,M0268TS262_3,M0268,0.0,0.0,0.0,0.006333333333333333,0.009411214953271027,0.007360122479704485,0.12760888229504327,0.1501168224299065,0.1360949880492939
NA-containing,M0268TS262_3,M0268,0.182,0.23808139534883724,0.20418064900762253,0.17839999999999998,0.23165116279069767,0.1991874575532098,0.40044033169558446,0.4227151162790697,0.4093448936144532
all,M0268TS262_4,M0268,0.0020909090909090908,0.0029222797927461143,0.0023877261722143454,0.029272727272727273,0.03549222797927461,0.03140999893634056,0.08274722279310381,0.08846891191709846,0.08486129334327822
NA-NA,M0268TS262_4,M0268,,,,,,,,,
NA-protein,M0268TS262_4,M0268,0.002,0.0030813953488372093,0.0023616623401894444,0.0434,0.04965697674418605,0.04550332984217865,0.10127754008368103,0.10493604651162793,0.1026223702418046
protein-protein,M0268TS262_4,M0268,0.0021666666666666666,0.002794392523364486,0.0024091019491438784,0.0175,0.024107476635514023,0.019851610386665077,0.0673052917176228,0.07523364485981308,0.07029486974722164
NA-containing,M0268TS262_4,M0268,0.002,0.0030813953488372093,0.0023616623401894444,0.0434,0.04965697674418605,0.04550332984217865,0.10127754008368103,0.10493604651162793,0.1026223702418046
all,M0268TS262_5,M0268,0.0020909090909090908,0.0029222797927461143,0.0023877261722143454,0.03081818181818182,0.037474093264248706,0.033128710176372006,0.08326923313330417,0.08899481865284975,0.08538290906996097
